id,title,wikipedia_url,birth_date,death_date,influenced_by,influenced,period_life,school_teaching
256,"Ленин, Владимир Ильич",https://ru.wikipedia.org/wiki/Ленин%2C_Владимир_Ильич,,,,,,
1205,"Иванов, Вячеслав Иванович",https://ru.wikipedia.org/wiki/Иванов%2C_Вячеслав_Иванович,16 (28) февраля 1866[1] или 28 февраля 1866(1866-02-28)[2][1],16 июля 1949(1949-07-16)[3][4][…] (83 года),,,,
1206,Зенон Элейский,https://ru.wikipedia.org/wiki/Зенон_Элейский,около 490 до н. э.[1],около 425 до н. э.[1],Парменид,,,Элеаты
1207,"Кант, Иммануил",https://ru.wikipedia.org/wiki/Кант%2C_Иммануил,22 апреля 1724(1724-04-22),12 февраля 1804(1804-02-12) (79 лет),"Платон, Беркли, Вольф, Тетенс, Хатчесон, Монтень, Юм, Декарт, Лейбниц, Локк, Мальбранш, Ньютон, Руссо, Спиноза","Рейнгольд, Якоби, Мендельсон, Бердяев, Гербарт, Соломон Маймон, Фихте, Бранкович, Шеллинг, Гегель, Шопенгауэр, Фриз, Гельмгольц, Коген, Наторп, Виндельбанд, Риккерт, Риль, Файхингер, Кассирер, Гуссерль, Хайдеггер, Пирс, Витгенштейн, Апель, Стросон, Куайн, Фуко, Делёз, Хабермас, Ницше",философия XVIII века,кантианство
1208,Демокрит,https://ru.wikipedia.org/wiki/Демокрит,460 до н. э.(-460),370 до н.э. (≈ 90 лет),Левкипп,Эпикур,Древнегреческая философия,Атомисты
1212,"Гегель, Георг Вильгельм Фридрих",https://ru.wikipedia.org/wiki/Гегель%2C_Георг_Вильгельм_Фридрих,27 августа 1770(1770-08-27)[1][2][…],14 ноября 1831(1831-11-14)[1][2][…] (61 год),"Фридрих Вильгельм Йозеф фон Шеллинг, Иммануил Кант, Гераклит Эфесский, Бенедикт Спиноза, Шарль де Монтескьё, Аристотель, Платон, Плотин, Прокл Диадох, Ансельм Кентерберийский, Николай Кузанский, Рене Декарт, Жан-Жак Руссо, Якоб Бёме, Иоганн Готлиб Фихте и Фридрих Шлейермахер","Розенкранц, Фейербах, Маркс, Энгельс, Бруно Бауэр, Томас Грин, Генрих Густав Гото, Брэдли, Ленин, Лукач, Лифшиц, Хайдеггер, Маркузе, Александр Кожев, Сартр, Карл Барт, Ханс Кюнг, Хабермас, Гадамер, Ильенков, Чарльз Тейлор, Ильин, Киреевский",философия XIX века,
1213,"Бэкон, Фрэнсис",https://ru.wikipedia.org/wiki/Бэкон%2C_Фрэнсис,,,,,,
1216,"Беркли, Джордж",https://ru.wikipedia.org/wiki/Беркли%2C_Джордж,12 марта 1685(1685-03-12),12 января 1753(1753-01-12) (67 лет),Дж. ЛоккН. Мальбранш,Д. ЮмИ. КантА. Шопенгауэр,Философия XVIII века,Субъективный идеализм
1217,"Бердяев, Николай Александрович",https://ru.wikipedia.org/wiki/Бердяев%2C_Николай_Александрович,6 (18) марта 1874[1][2][…],24 марта 1948(1948-03-24)[3][4][…] (74 года),"К. ЛеонтьевКьеркегорГегельВл. СоловьёвБёмеЛ. ТолстойКантА. ХомяковБаадерДостоевскийНицшеШопенгауэрРозанов
Хайдеггер",Эм. МуньеЖ. ЭллюльО. ХакслиГ. МарсельГ. ФедотовА. ЛосевК. БартАл. МеньВениамин (Новик)Б. Кагарлицкий,философия XX века,"континентальная философия, русская религиозная философия"
1218,Аристотель,https://ru.wikipedia.org/wiki/Аристотель,384 до н. э.(-384),322 до н. э.(-322),"Платон, Сократ",,Античная философия,Перипатетики
